Step,Value,Legend
146000.0,-8.08941692521112,Pos+CNN
147000.0,-8.095862121278445,Pos+CNN
148000.0,-8.002712687203964,Pos+CNN
149000.0,-7.9331059796931305,Pos+CNN
150000.0,-7.9254270877595605,Pos+CNN
151000.0,-7.863321139598694,Pos+CNN
152000.0,-7.774222002899216,Pos+CNN
153000.0,-7.749046736113019,Pos+CNN
154000.0,-7.710704954956172,Pos+CNN
155000.0,-7.65500452604839,Pos+CNN
156000.0,-7.646980523691588,Pos+CNN
157000.0,-7.6292702075289816,Pos+CNN
158000.0,-7.639479308389104,Pos+CNN
159000.0,-7.572424671659224,Pos+CNN
160000.0,-7.5030587519495535,Pos+CNN
161000.0,-7.497163073720973,Pos+CNN
162000.0,-7.510005287008801,Pos+CNN
163000.0,-7.438453925742162,Pos+CNN
164000.0,-7.384553027588904,Pos+CNN
165000.0,-7.295723673519333,Pos+CNN
166000.0,-7.293618354177473,Pos+CNN
167000.0,-7.257757688887117,Pos+CNN
168000.0,-7.1748310089715694,Pos+CNN
169000.0,-7.215993256626324,Pos+CNN
170000.0,-7.294736125762171,Pos+CNN
171000.0,-7.305613318840822,Pos+CNN
172000.0,-7.347099067541115,Pos+CNN
173000.0,-7.280223192456906,Pos+CNN
174000.0,-7.168138383427627,Pos+CNN
175000.0,-7.116334085334737,Pos+CNN
176000.0,-7.0384357436854925,Pos+CNN
177000.0,-7.0058409771463594,Pos+CNN
178000.0,-7.037740419416055,Pos+CNN
179000.0,-7.039201391342286,Pos+CNN
180000.0,-7.07983291742489,Pos+CNN
181000.0,-7.062810170326839,Pos+CNN
182000.0,-7.009176063826183,Pos+CNN
183000.0,-6.911974416053269,Pos+CNN
184000.0,-6.87686365701971,Pos+CNN
185000.0,-6.866737868043847,Pos+CNN
186000.0,-6.853864360223625,Pos+CNN
187000.0,-6.844434253326946,Pos+CNN
188000.0,-6.834908382449844,Pos+CNN
189000.0,-6.759658429559651,Pos+CNN
190000.0,-6.738753383218997,Pos+CNN
191000.0,-6.68906446855939,Pos+CNN
192000.0,-6.578676596617626,Pos+CNN
193000.0,-6.672716208864382,Pos+CNN
194000.0,-6.613476293425435,Pos+CNN
195000.0,-6.525807277643324,Pos+CNN
196000.0,-6.48086442696001,Pos+CNN
197000.0,-6.433849694724863,Pos+CNN
198000.0,-6.482281406994845,Pos+CNN
199000.0,-6.518080781164146,Pos+CNN
200000.0,-6.473855895548321,Pos+CNN
201000.0,-6.44633447986026,Pos+CNN
202000.0,-6.414758627296691,Pos+CNN
203000.0,-6.360018415696566,Pos+CNN
204000.0,-6.263664781326838,Pos+CNN
205000.0,-6.221406706483213,Pos+CNN
206000.0,-6.146014424061274,Pos+CNN
207000.0,-6.096223554313899,Pos+CNN
208000.0,-6.025692867473448,Pos+CNN
209000.0,-6.022447803491255,Pos+CNN
210000.0,-5.993109695047345,Pos+CNN
211000.0,-5.914916674627558,Pos+CNN
212000.0,-5.831836160338929,Pos+CNN
213000.0,-5.861205350857138,Pos+CNN
214000.0,-5.869844435578686,Pos+CNN
215000.0,-5.854937099396981,Pos+CNN
216000.0,-5.843216345539498,Pos+CNN
217000.0,-5.810038043597607,Pos+CNN
218000.0,-5.898205760977968,Pos+CNN
219000.0,-5.901806191274712,Pos+CNN
220000.0,-5.876029455548257,Pos+CNN
221000.0,-5.866573204290314,Pos+CNN
222000.0,-5.826278563546014,Pos+CNN
223000.0,-5.865756585594543,Pos+CNN
224000.0,-5.7746648298469205,Pos+CNN
225000.0,-5.763376976194845,Pos+CNN
226000.0,-5.9050598024186725,Pos+CNN
227000.0,-5.966995156299508,Pos+CNN
228000.0,-5.95013226734287,Pos+CNN
229000.0,-5.894620034926653,Pos+CNN
230000.0,-5.94129974160775,Pos+CNN
231000.0,-5.88302872368172,Pos+CNN
232000.0,-5.8656884580756365,Pos+CNN
233000.0,-5.8534845434039715,Pos+CNN
234000.0,-5.892167556910652,Pos+CNN
235000.0,-5.88794037222613,Pos+CNN
236000.0,-5.93326005035402,Pos+CNN
237000.0,-5.857088266403213,Pos+CNN
238000.0,-5.820842863779464,Pos+CNN
239000.0,-5.768792338746923,Pos+CNN
240000.0,-5.787220774292183,Pos+CNN
241000.0,-5.765129537671079,Pos+CNN
242000.0,-5.724741694057789,Pos+CNN
243000.0,-5.6559304802502846,Pos+CNN
244000.0,-5.598495255752541,Pos+CNN
245000.0,-5.545196889144113,Pos+CNN
246000.0,-5.513033036775225,Pos+CNN
247000.0,-5.5813049059783335,Pos+CNN
248000.0,-5.5915343326917455,Pos+CNN
249000.0,-5.615887946333647,Pos+CNN
250000.0,-5.577677849058163,Pos+CNN
251000.0,-5.564486929742157,Pos+CNN
252000.0,-5.4685921187393625,Pos+CNN
253000.0,-5.4354702968829,Pos+CNN
254000.0,-5.408326165125913,Pos+CNN
255000.0,-5.444330326153675,Pos+CNN
256000.0,-5.4249876835566235,Pos+CNN
257000.0,-5.445034900674263,Pos+CNN
258000.0,-5.398143024643845,Pos+CNN
259000.0,-5.3447336523041695,Pos+CNN
