Step,Value,Legend
177000.0,-7.0058409771463594,No motion
178000.0,-7.037740419416055,No motion
179000.0,-7.039201391342286,No motion
180000.0,-7.07983291742489,No motion
181000.0,-7.062810170326839,No motion
182000.0,-7.009176063826183,No motion
183000.0,-6.911974416053269,No motion
184000.0,-6.87686365701971,No motion
185000.0,-6.866737868043847,No motion
186000.0,-6.853864360223625,No motion
187000.0,-6.844434253326946,No motion
188000.0,-6.834908382449844,No motion
189000.0,-6.759658429559651,No motion
190000.0,-6.738753383218997,No motion
191000.0,-6.68906446855939,No motion
192000.0,-6.578676596617626,No motion
193000.0,-6.672716208864382,No motion
194000.0,-6.613476293425435,No motion
195000.0,-6.525807277643324,No motion
196000.0,-6.48086442696001,No motion
197000.0,-6.433849694724863,No motion
198000.0,-6.482281406994845,No motion
199000.0,-6.518080781164146,No motion
200000.0,-6.473855895548321,No motion
201000.0,-6.44633447986026,No motion
202000.0,-6.414758627296691,No motion
203000.0,-6.360018415696566,No motion
204000.0,-6.263664781326838,No motion
205000.0,-6.221406706483213,No motion
206000.0,-6.146014424061274,No motion
207000.0,-6.096223554313899,No motion
208000.0,-6.025692867473448,No motion
209000.0,-6.022447803491255,No motion
210000.0,-5.993109695047345,No motion
211000.0,-5.914916674627558,No motion
212000.0,-5.831836160338929,No motion
213000.0,-5.861205350857138,No motion
214000.0,-5.869844435578686,No motion
215000.0,-5.854937099396981,No motion
216000.0,-5.843216345539498,No motion
217000.0,-5.810038043597607,No motion
218000.0,-5.898205760977968,No motion
219000.0,-5.901806191274712,No motion
220000.0,-5.876029455548257,No motion
221000.0,-5.866573204290314,No motion
222000.0,-5.826278563546014,No motion
223000.0,-5.865756585594543,No motion
224000.0,-5.7746648298469205,No motion
225000.0,-5.763376976194845,No motion
226000.0,-5.9050598024186725,No motion
227000.0,-5.966995156299508,No motion
228000.0,-5.95013226734287,No motion
229000.0,-5.894620034926653,No motion
230000.0,-5.94129974160775,No motion
231000.0,-5.88302872368172,No motion
232000.0,-5.8656884580756365,No motion
233000.0,-5.8534845434039715,No motion
234000.0,-5.892167556910652,No motion
235000.0,-5.88794037222613,No motion
236000.0,-5.93326005035402,No motion
237000.0,-5.857088266403213,No motion
238000.0,-5.820842863779464,No motion
239000.0,-5.768792338746923,No motion
240000.0,-5.787220774292183,No motion
241000.0,-5.765129537671079,No motion
242000.0,-5.724741694057789,No motion
243000.0,-5.6559304802502846,No motion
244000.0,-5.598495255752541,No motion
245000.0,-5.545196889144113,No motion
246000.0,-5.513033036775225,No motion
247000.0,-5.5813049059783335,No motion
248000.0,-5.5915343326917455,No motion
249000.0,-5.615887946333647,No motion
250000.0,-5.577677849058163,No motion
251000.0,-5.564486929742157,No motion
252000.0,-5.4685921187393625,No motion
253000.0,-5.4354702968829,No motion
254000.0,-5.408326165125913,No motion
255000.0,-5.444330326153675,No motion
256000.0,-5.4249876835566235,No motion
257000.0,-5.445034900674263,No motion
258000.0,-5.398143024643845,No motion
259000.0,-5.3447336523041695,No motion
260000.0,-5.344331991661617,No motion
261000.0,-5.359235953678268,No motion
262000.0,-5.361735548397004,No motion
263000.0,-5.328616598774089,No motion
264000.0,-5.334509782545407,No motion
265000.0,-5.302115829711166,No motion
266000.0,-5.326621187059837,No motion
267000.0,-5.379237919760068,No motion
268000.0,-5.348230258848969,No motion
269000.0,-5.317646715457607,No motion
270000.0,-5.320241295044223,No motion
271000.0,-5.366870016462971,No motion
272000.0,-5.372561969436209,No motion
273000.0,-5.361949145965924,No motion
274000.0,-5.36678855733523,No motion
275000.0,-5.407625169164208,No motion
276000.0,-5.368324252045109,No motion
277000.0,-5.404227874152021,No motion
278000.0,-5.473035683630455,No motion
279000.0,-5.463544818638384,No motion
280000.0,-5.401176069413314,No motion
281000.0,-5.3690853054552825,No motion
282000.0,-5.38394972666781,No motion
283000.0,-5.364966983948616,No motion
284000.0,-5.321639002945766,No motion
285000.0,-5.369116489596573,No motion
286000.0,-5.314343268952804,No motion
287000.0,-5.306762306410009,No motion
288000.0,-5.200925755592225,No motion
289000.0,-5.130306259480552,No motion
290000.0,-5.092030349277521,No motion
291000.0,-5.043393587825608,No motion
292000.0,-5.028603578577455,No motion
293000.0,-5.010193919858849,No motion
294000.0,-5.0326678941005865,No motion
295000.0,-4.978280121076771,No motion
296000.0,-4.935932305742537,No motion
297000.0,-4.963321038012479,No motion
298000.0,-5.020541720120644,No motion
299000.0,-4.963838281136859,No motion
300000.0,-5.008585553176207,No motion
301000.0,-5.005243062741213,No motion
302000.0,-5.018950712460598,No motion
303000.0,-5.1536603919559765,No motion
304000.0,-5.165701383779381,No motion
305000.0,-5.2708738751296575,No motion
306000.0,-5.307436992896612,No motion
307000.0,-5.279852151537304,No motion
308000.0,-5.204317772071706,No motion
309000.0,-5.202443076667278,No motion
310000.0,-5.270831088048452,No motion
311000.0,-5.307646946937961,No motion
312000.0,-5.389389438420103,No motion
313000.0,-5.390910695831068,No motion
314000.0,-5.385999341108484,No motion
315000.0,-5.4346471193762405,No motion
316000.0,-5.388189898447712,No motion
317000.0,-5.308591430575345,No motion
318000.0,-5.308107962142586,No motion
319000.0,-5.327964934145014,No motion
320000.0,-5.334963322493306,No motion
321000.0,-5.3189667470974005,No motion
322000.0,-5.278466255201515,No motion
323000.0,-5.215242772496676,No motion
324000.0,-5.199472818510819,No motion
325000.0,-5.141315545688305,No motion
326000.0,-5.170408163217427,No motion
327000.0,-5.133223952909645,No motion
328000.0,-5.116161220229983,No motion
329000.0,-5.070695924072915,No motion
330000.0,-5.189533278290411,No motion
331000.0,-5.186075014568151,No motion
332000.0,-5.1833896682281715,No motion
333000.0,-5.140748791231558,No motion
334000.0,-5.205896128929807,No motion
335000.0,-5.1530295394175205,No motion
336000.0,-5.091334280689289,No motion
337000.0,-5.051431453678751,No motion
338000.0,-5.031633208822266,No motion
339000.0,-4.985746247668568,No motion
340000.0,-4.946304478192855,No motion
341000.0,-4.972371202754281,No motion
342000.0,-4.9530759582369885,No motion
343000.0,-4.911189982590764,No motion
344000.0,-4.893090033365095,No motion
345000.0,-4.899548731884523,No motion
346000.0,-4.869578886537855,No motion
347000.0,-4.868923328403285,No motion
348000.0,-4.987494745830166,No motion
349000.0,-4.95588555438369,No motion
350000.0,-4.959876817245256,No motion
351000.0,-4.951953319400571,No motion
352000.0,-4.994936092998108,No motion
353000.0,-4.9654528171720544,No motion
354000.0,-4.986133666570716,No motion
355000.0,-4.96717526033416,No motion
356000.0,-5.000185468188423,No motion
357000.0,-4.975033119789683,No motion
358000.0,-4.939494669137723,No motion
359000.0,-4.902064570499868,No motion
360000.0,-4.889410682795186,No motion
361000.0,-4.834097110096467,No motion
362000.0,-4.863626504660308,No motion
363000.0,-4.934975838149217,No motion
364000.0,-4.900317037811276,No motion
365000.0,-4.9584311211853,No motion
366000.0,-4.970000388871763,No motion
367000.0,-4.951546188710707,No motion
368000.0,-4.92070085673794,No motion
369000.0,-4.946754675366497,No motion
370000.0,-4.9436400832683995,No motion
371000.0,-4.976608969455321,No motion
372000.0,-4.97190333883076,No motion
373000.0,-4.928506889006532,No motion
374000.0,-4.852899718441551,No motion
375000.0,-4.9237791456283,No motion
376000.0,-4.9182273953781355,No motion
377000.0,-4.963798664921973,No motion
378000.0,-4.983874002862703,No motion
379000.0,-4.923048647026514,No motion
380000.0,-4.919564461898089,No motion
381000.0,-4.8965824021714095,No motion
382000.0,-4.868042730800937,No motion
383000.0,-4.89731327130099,No motion
384000.0,-4.922332384805032,No motion
385000.0,-4.850915644257408,No motion
386000.0,-4.8292910923607,No motion
387000.0,-4.760743879928639,No motion
388000.0,-4.784217725666093,No motion
389000.0,-4.839173618900917,No motion
390000.0,-4.845555425436034,No motion
391000.0,-4.788719899170794,No motion
392000.0,-4.764451069014806,No motion
393000.0,-4.751999203621011,No motion
394000.0,-4.7096551547902115,No motion
395000.0,-4.721511669549786,No motion
396000.0,-4.713838271512359,No motion
397000.0,-4.753067846698643,No motion
398000.0,-4.705722631834872,No motion
399000.0,-4.697639416388453,No motion
400000.0,-4.704579855198852,No motion
401000.0,-4.667851173813574,No motion
402000.0,-4.612055219946962,No motion
403000.0,-4.631070440860319,No motion
404000.0,-4.628212478318951,No motion
405000.0,-4.566543437273487,No motion
406000.0,-4.515226002901421,No motion
407000.0,-4.506552806050722,No motion
408000.0,-4.49498210849721,No motion
409000.0,-4.458063808850852,No motion
410000.0,-4.453538852317916,No motion
411000.0,-4.389161367728906,No motion
412000.0,-4.409203631221122,No motion
413000.0,-4.368500484438662,No motion
414000.0,-4.439099622509209,No motion
415000.0,-4.520822033389669,No motion
416000.0,-4.555258093127656,No motion
417000.0,-4.562020010706381,No motion
418000.0,-4.605556497582562,No motion
419000.0,-4.519671949871707,No motion
420000.0,-4.544315870078317,No motion
421000.0,-4.566076617139892,No motion
422000.0,-4.52757531371057,No motion
423000.0,-4.498892602006823,No motion
424000.0,-4.511338895406542,No motion
425000.0,-4.44175767556221,No motion
426000.0,-4.476025244321636,No motion
427000.0,-4.478129162082971,No motion
428000.0,-4.476928854987428,No motion
429000.0,-4.505839031691488,No motion
430000.0,-4.4435873127653,No motion
431000.0,-4.495487770620993,No motion
432000.0,-4.508067517603249,No motion
433000.0,-4.562258586951663,No motion
434000.0,-4.493275456016403,No motion
435000.0,-4.515770568217719,No motion
436000.0,-4.444449777481546,No motion
437000.0,-4.494797326449266,No motion
438000.0,-4.468109711465762,No motion
439000.0,-4.4525352748579285,No motion
440000.0,-4.399952349139172,No motion
441000.0,-4.456652939537438,No motion
442000.0,-4.536538574306476,No motion
443000.0,-4.465592072951687,No motion
444000.0,-4.433682944596309,No motion
445000.0,-4.406623006770485,No motion
446000.0,-4.443152374887466,No motion
447000.0,-4.5226778005766874,No motion
448000.0,-4.565462663218141,No motion
449000.0,-4.524992107075972,No motion
450000.0,-4.4828504848345085,No motion
451000.0,-4.446837957846202,No motion
452000.0,-4.423673694669926,No motion
453000.0,-4.367322601946928,No motion
454000.0,-4.370740086008212,No motion
455000.0,-4.3884321199463265,No motion
456000.0,-4.424072712587926,No motion
457000.0,-4.4864293053063085,No motion
458000.0,-4.462571278075051,No motion
459000.0,-4.448996337370761,No motion
460000.0,-4.455433339388026,No motion
461000.0,-4.466884370630295,No motion
462000.0,-4.472423966910487,No motion
463000.0,-4.4305914991863,No motion
464000.0,-4.428786531694636,No motion
465000.0,-4.465725973077129,No motion
466000.0,-4.454147528694207,No motion
467000.0,-4.452890695663123,No motion
468000.0,-4.39330832804763,No motion
469000.0,-4.4473962208951265,No motion
470000.0,-4.385390060172331,No motion
471000.0,-4.391327838276386,No motion
472000.0,-4.3743209890185115,No motion
473000.0,-4.326922397720357,No motion
474000.0,-4.302838200193805,No motion
475000.0,-4.289193177391145,No motion
476000.0,-4.286680053632061,No motion
477000.0,-4.267894859525135,No motion
478000.0,-4.26159089966808,No motion
479000.0,-4.224532382249678,No motion
480000.0,-4.254256037604662,No motion
481000.0,-4.251615753119449,No motion
482000.0,-4.22167629284461,No motion
483000.0,-4.2290502723918335,No motion
484000.0,-4.2329276204131725,No motion
485000.0,-4.236675760152097,No motion
486000.0,-4.204952712806112,No motion
487000.0,-4.220805402750218,No motion
488000.0,-4.231145986265662,No motion
489000.0,-4.32883851719835,No motion
490000.0,-4.365811603698052,No motion
491000.0,-4.347290198565793,No motion
492000.0,-4.387196263207206,No motion
493000.0,-4.343171738094636,No motion
494000.0,-4.418684474012474,No motion
495000.0,-4.39061074635601,No motion
496000.0,-4.43423767211194,No motion
497000.0,-4.529692856034114,No motion
498000.0,-4.490823655508408,No motion
499000.0,-4.4846194602284095,No motion
500000.0,-4.563128512737315,No motion
501000.0,-4.526503661826554,No motion
502000.0,-4.441564129369993,No motion
503000.0,-4.487595792858463,No motion
504000.0,-4.4811925971867925,No motion
505000.0,-4.4470863898738395,No motion
506000.0,-4.469248395377096,No motion
507000.0,-4.479808044585597,No motion
508000.0,-4.522298660422724,No motion
509000.0,-4.5561460238874885,No motion
510000.0,-4.587059931265502,No motion
511000.0,-4.531929559004138,No motion
512000.0,-4.4863877089492865,No motion
513000.0,-4.491938452133414,No motion
514000.0,-4.449816095032724,No motion
515000.0,-4.41705104692629,No motion
516000.0,-4.431370575573628,No motion
517000.0,-4.518151799221094,No motion
518000.0,-4.565466965645843,No motion
519000.0,-4.561517772217371,No motion
520000.0,-4.549024850411007,No motion
521000.0,-4.5092831420587,No motion
522000.0,-4.502493048638321,No motion
523000.0,-4.483838504238632,No motion
524000.0,-4.512161823510647,No motion
525000.0,-4.463913861691499,No motion
526000.0,-4.377222270360159,No motion
527000.0,-4.344668968579212,No motion
528000.0,-4.351939967133589,No motion
529000.0,-4.303264081791131,No motion
530000.0,-4.331303349434668,No motion
531000.0,-4.337843088045088,No motion
532000.0,-4.3784815275149045,No motion
533000.0,-4.312264205346771,No motion
534000.0,-4.331611455742274,No motion
535000.0,-4.307244752050009,No motion
536000.0,-4.242062103242216,No motion
537000.0,-4.327739178057523,No motion
538000.0,-4.316967382004073,No motion
539000.0,-4.347889871668517,No motion
540000.0,-4.360581823893502,No motion
541000.0,-4.292447184793859,No motion
542000.0,-4.258545393257412,No motion
543000.0,-4.2252437897360515,No motion
544000.0,-4.177227790797192,No motion
545000.0,-4.232250659527597,No motion
546000.0,-4.224583930193489,No motion
547000.0,-4.223388818003883,No motion
548000.0,-4.205087705198172,No motion
549000.0,-4.155694537913879,No motion
550000.0,-4.196118309972959,No motion
551000.0,-4.199811201427741,No motion
552000.0,-4.223945564108734,No motion
553000.0,-4.22215256370481,No motion
554000.0,-4.234233049685829,No motion
555000.0,-4.216282459823608,No motion
556000.0,-4.20690030266037,No motion
557000.0,-4.213160116361885,No motion
558000.0,-4.211254456582609,No motion
559000.0,-4.173570630943574,No motion
560000.0,-4.185531375900911,No motion
561000.0,-4.202643643012848,No motion
562000.0,-4.197785780510949,No motion
563000.0,-4.173325015502735,No motion
564000.0,-4.189823321230894,No motion
565000.0,-4.1664177727116165,No motion
566000.0,-4.1893323167008525,No motion
567000.0,-4.24232941355807,No motion
568000.0,-4.250244395059122,No motion
569000.0,-4.274035051778639,No motion
570000.0,-4.323935269862314,No motion
571000.0,-4.418812191061582,No motion
572000.0,-4.418093649341449,No motion
573000.0,-4.3501748734753285,No motion
574000.0,-4.33873567077904,No motion
575000.0,-4.61491979597727,No motion
576000.0,-4.610981948840455,No motion
577000.0,-4.574509997451746,No motion
578000.0,-4.6269703152976644,No motion
579000.0,-4.621891521517644,No motion
580000.0,-4.596208808768788,No motion
581000.0,-4.561989639253962,No motion
582000.0,-4.522821956226201,No motion
583000.0,-4.5542447593624615,No motion
584000.0,-4.514976456311789,No motion
585000.0,-4.524947886486923,No motion
586000.0,-4.506635134000651,No motion
587000.0,-4.54910075202596,No motion
588000.0,-4.523230458878092,No motion
589000.0,-4.466558641496779,No motion
590000.0,-4.417519900191136,No motion
591000.0,-4.42597568466156,No motion
592000.0,-4.404016171020217,No motion
593000.0,-4.3949989819684125,No motion
594000.0,-4.341427342787442,No motion
595000.0,-4.369221679230834,No motion
596000.0,-4.311107294030278,No motion
597000.0,-4.333566603515471,No motion
598000.0,-4.367521703820654,No motion
599000.0,-4.531855050277876,No motion
600000.0,-4.564485401287237,No motion
601000.0,-4.545334960873753,No motion
602000.0,-4.490885133110522,No motion
603000.0,-4.430410207147288,No motion
604000.0,-4.473921106053535,No motion
605000.0,-4.405558212104923,No motion
606000.0,-4.354915966916394,No motion
607000.0,-4.329921230486926,No motion
608000.0,-4.293242094488245,No motion
609000.0,-4.383703152033425,No motion
610000.0,-4.4394080834667875,No motion
611000.0,-4.500867683413321,No motion
612000.0,-4.453198399927775,No motion
613000.0,-4.50442337239507,No motion
614000.0,-4.485478501344591,No motion
615000.0,-4.5407832858797175,No motion
616000.0,-4.566486888919716,No motion
617000.0,-4.514858475431524,No motion
618000.0,-4.5603269373868764,No motion
619000.0,-4.491975221407425,No motion
620000.0,-4.40265995433272,No motion
621000.0,-4.399825464306514,No motion
622000.0,-4.326040248162874,No motion
623000.0,-4.253937809748414,No motion
624000.0,-4.200282872347846,No motion
625000.0,-4.173183140752091,No motion
626000.0,-4.10476652455082,No motion
627000.0,-4.0707476306772525,No motion
628000.0,-4.029947690206317,No motion
629000.0,-4.041375954385272,No motion
630000.0,-4.048824874027458,No motion
631000.0,-4.074866305878453,No motion
632000.0,-4.128978119826474,No motion
633000.0,-4.151660864759833,No motion
634000.0,-4.144576593189322,No motion
635000.0,-4.166600173464854,No motion
636000.0,-4.197979327503709,No motion
637000.0,-4.1931054379946735,No motion
638000.0,-4.240186015475433,No motion
639000.0,-4.231605364604005,No motion
640000.0,-4.2982989887764536,No motion
641000.0,-4.301492860252853,No motion
642000.0,-4.337947052536841,No motion
643000.0,-4.277521882183865,No motion
644000.0,-4.266685720325648,No motion
645000.0,-4.279248555738809,No motion
646000.0,-4.214411250975855,No motion
647000.0,-4.180311672504517,No motion
648000.0,-4.1457625677039065,No motion
649000.0,-4.156754277880723,No motion
650000.0,-4.179515872000603,No motion
651000.0,-4.111739011525115,No motion
652000.0,-4.096150628053199,No motion
