Step,Value,Legend
1000.0,-10.079533576965332,Polar action
2000.0,-10.238628578186036,Polar action
3000.0,-10.310789813995363,Polar action
4000.0,-10.453966477394106,Polar action
5000.0,-10.672455582952502,Polar action
6000.0,-10.749588962633611,Polar action
7000.0,-10.774738642004372,Polar action
8000.0,-11.025930766071756,Polar action
9000.0,-11.06555810929893,Polar action
10000.0,-10.998830058112548,Polar action
11000.0,-10.996094575562143,Polar action
12000.0,-11.078736231213966,Polar action
13000.0,-11.206311250936839,Polar action
14000.0,-11.322668337773543,Polar action
15000.0,-11.391958962632913,Polar action
16000.0,-11.406111405507737,Polar action
17000.0,-11.417397679791065,Polar action
18000.0,-11.455863361368529,Polar action
19000.0,-11.361121140489432,Polar action
20000.0,-11.374226391753535,Polar action
21000.0,-11.429084799109827,Polar action
22000.0,-11.479242297359292,Polar action
23000.0,-11.406830570827509,Polar action
24000.0,-11.48120959663794,Polar action
25000.0,-11.53133777838136,Polar action
26000.0,-11.483286323727429,Polar action
27000.0,-11.633822553805706,Polar action
28000.0,-11.555388557691957,Polar action
29000.0,-11.573777538926011,Polar action
30000.0,-11.579437006782566,Polar action
31000.0,-11.588965513117632,Polar action
32000.0,-11.708833500660603,Polar action
33000.0,-11.82073975272108,Polar action
34000.0,-11.752286821939274,Polar action
35000.0,-11.756341658851344,Polar action
36000.0,-11.767103791912195,Polar action
37000.0,-11.908569569037166,Polar action
38000.0,-12.041415435983255,Polar action
39000.0,-12.067069025603772,Polar action
40000.0,-11.981011983930516,Polar action
41000.0,-11.92792758079417,Polar action
42000.0,-11.93383413449372,Polar action
43000.0,-11.889478882160514,Polar action
44000.0,-11.767143009112669,Polar action
45000.0,-11.905871925856742,Polar action
46000.0,-11.925750763417055,Polar action
47000.0,-11.972266608119737,Polar action
48000.0,-12.052815207797979,Polar action
49000.0,-12.126414843907714,Polar action
50000.0,-12.103426544949633,Polar action
51000.0,-11.986791575581789,Polar action
52000.0,-11.877045550345791,Polar action
53000.0,-11.976989430665416,Polar action
54000.0,-11.880487666880558,Polar action
55000.0,-11.807916139600374,Polar action
56000.0,-11.969255781457635,Polar action
57000.0,-11.973325045378527,Polar action
58000.0,-11.882284229892436,Polar action
59000.0,-11.889679160319812,Polar action
60000.0,-11.886733774615223,Polar action
61000.0,-12.020425049522768,Polar action
62000.0,-11.963538986103025,Polar action
63000.0,-12.071330321404806,Polar action
64000.0,-11.920123195593355,Polar action
65000.0,-11.993409581132292,Polar action
66000.0,-11.896051285455805,Polar action
67000.0,-11.86665418535538,Polar action
68000.0,-11.694380273923914,Polar action
69000.0,-11.686229529957332,Polar action
70000.0,-11.589359640907587,Polar action
71000.0,-11.73079543693838,Polar action
72000.0,-11.734686783102935,Polar action
73000.0,-11.638108808388708,Polar action
74000.0,-11.633979084750889,Polar action
75000.0,-11.479643287785683,Polar action
76000.0,-11.438615100981236,Polar action
77000.0,-11.407835869522263,Polar action
78000.0,-11.376041278347174,Polar action
79000.0,-11.409385077009162,Polar action
80000.0,-11.317787120995009,Polar action
81000.0,-11.317532492423284,Polar action
82000.0,-11.323091462360836,Polar action
83000.0,-11.262923675131464,Polar action
84000.0,-11.152571471019666,Polar action
85000.0,-11.109512609153864,Polar action
86000.0,-11.074075821851077,Polar action
87000.0,-11.091752407574319,Polar action
88000.0,-11.128216508768478,Polar action
89000.0,-11.287818399623388,Polar action
90000.0,-11.23016084946949,Polar action
91000.0,-11.4365003449904,Polar action
92000.0,-11.327062221966955,Polar action
93000.0,-11.270307079923784,Polar action
94000.0,-11.32066592293382,Polar action
95000.0,-11.30330797316164,Polar action
96000.0,-11.161423671915667,Polar action
97000.0,-11.092029608528623,Polar action
98000.0,-11.034952055790791,Polar action
99000.0,-10.954779713163605,Polar action
100000.0,-10.82918604649041,Polar action
101000.0,-10.811478003015987,Polar action
102000.0,-10.743137302938429,Polar action
103000.0,-10.686705297029178,Polar action
104000.0,-10.646917590008531,Polar action
105000.0,-10.574487253110643,Polar action
106000.0,-10.559480208036288,Polar action
107000.0,-10.518486159029736,Polar action
108000.0,-10.488770041996217,Polar action
109000.0,-10.380529412058271,Polar action
110000.0,-10.35882798036527,Polar action
111000.0,-10.440896404192465,Polar action
112000.0,-10.503590792204276,Polar action
113000.0,-10.465945537185737,Polar action
114000.0,-10.443798105449742,Polar action
115000.0,-10.403011884793344,Polar action
116000.0,-10.350188694575893,Polar action
117000.0,-10.431269538472586,Polar action
118000.0,-10.47570351905323,Polar action
119000.0,-10.43245232442381,Polar action
120000.0,-10.325352356060286,Polar action
121000.0,-10.238270987036568,Polar action
122000.0,-10.231731201722825,Polar action
123000.0,-10.267047393559292,Polar action
124000.0,-10.253298629151711,Polar action
125000.0,-10.298136491959873,Polar action
126000.0,-10.314476424869204,Polar action
127000.0,-10.299379978274791,Polar action
128000.0,-10.256578518957609,Polar action
129000.0,-10.26884963344552,Polar action
130000.0,-10.217900285318166,Polar action
131000.0,-10.189728936289685,Polar action
132000.0,-10.426919459003399,Polar action
133000.0,-10.360309861861944,Polar action
134000.0,-10.357586631799853,Polar action
135000.0,-10.436614391350608,Polar action
136000.0,-10.422401193069089,Polar action
137000.0,-10.41439940047496,Polar action
138000.0,-10.344276573624429,Polar action
139000.0,-10.260956616250581,Polar action
140000.0,-10.296362831687441,Polar action
141000.0,-10.307952218026653,Polar action
142000.0,-10.229044284554519,Polar action
143000.0,-10.165488169417369,Polar action
144000.0,-10.253331829641567,Polar action
145000.0,-10.200526755112003,Polar action
146000.0,-10.153144899015338,Polar action
147000.0,-10.185572111462033,Polar action
148000.0,-10.189912165862076,Polar action
149000.0,-10.091046545285646,Polar action
150000.0,-9.981798230319948,Polar action
151000.0,-9.945638092134638,Polar action
152000.0,-9.930680120175612,Polar action
153000.0,-9.925979324158286,Polar action
154000.0,-9.996442852991265,Polar action
155000.0,-9.978937252013456,Polar action
156000.0,-10.086375429695986,Polar action
157000.0,-10.057175676765874,Polar action
158000.0,-9.992522898024017,Polar action
159000.0,-10.093280463984023,Polar action
160000.0,-10.052605412495028,Polar action
161000.0,-9.989598402368323,Polar action
162000.0,-10.00752361072891,Polar action
163000.0,-9.940429996263022,Polar action
164000.0,-9.946143443654462,Polar action
165000.0,-9.818572585291623,Polar action
166000.0,-9.80995644458295,Polar action
167000.0,-9.846960062402019,Polar action
168000.0,-9.836340994523617,Polar action
169000.0,-9.798320808353344,Polar action
170000.0,-9.721302020972175,Polar action
171000.0,-9.643464792772077,Polar action
172000.0,-9.746052838915334,Polar action
173000.0,-9.777872892892418,Polar action
174000.0,-9.787039570055658,Polar action
175000.0,-9.787585319519183,Polar action
176000.0,-9.79457627372755,Polar action
177000.0,-9.81990116144193,Polar action
178000.0,-9.765131708380821,Polar action
179000.0,-9.665988477644703,Polar action
180000.0,-9.64789305423549,Polar action
181000.0,-9.604858209491855,Polar action
182000.0,-9.620003997595143,Polar action
183000.0,-9.579174991791925,Polar action
184000.0,-9.578580662139464,Polar action
185000.0,-9.582328993381855,Polar action
186000.0,-9.56842746375671,Polar action
187000.0,-9.46587934629855,Polar action
188000.0,-9.447976070740824,Polar action
189000.0,-9.448019465003465,Polar action
190000.0,-9.532527766808224,Polar action
191000.0,-9.515246433094278,Polar action
192000.0,-9.480566255223133,Polar action
193000.0,-9.47554381328107,Polar action
194000.0,-9.53924387748457,Polar action
195000.0,-9.598599747346302,Polar action
196000.0,-9.569691097488143,Polar action
197000.0,-9.594807712199916,Polar action
198000.0,-9.502135550543167,Polar action
199000.0,-9.487602684682878,Polar action
200000.0,-9.534575079974491,Polar action
201000.0,-9.58961150084149,Polar action
202000.0,-9.552498002673195,Polar action
203000.0,-9.54080652081346,Polar action
204000.0,-9.577290440988607,Polar action
205000.0,-9.568739849450651,Polar action
206000.0,-9.529355963286102,Polar action
207000.0,-9.54330993712497,Polar action
208000.0,-9.508303616141523,Polar action
209000.0,-9.509397911042456,Polar action
210000.0,-9.476581099291602,Polar action
211000.0,-9.464342763550045,Polar action
212000.0,-9.487507480383528,Polar action
213000.0,-9.435648452342134,Polar action
214000.0,-9.287714110360099,Polar action
215000.0,-9.275468640742973,Polar action
216000.0,-9.203262844242019,Polar action
217000.0,-9.137593949466442,Polar action
