Step,Value,Legend
1000.0,-12.596394538879395,Decision Range
2000.0,-12.735945701599121,Decision Range
3000.0,-12.644157934188842,Decision Range
4000.0,-12.618565056324005,Decision Range
5000.0,-12.491856526255608,Decision Range
6000.0,-12.656832648688555,Decision Range
7000.0,-12.613938382968605,Decision Range
8000.0,-12.554888344923691,Decision Range
9000.0,-12.634894200428361,Decision Range
10000.0,-12.821926384022666,Decision Range
11000.0,-12.881823030519774,Decision Range
12000.0,-13.018517201183116,Decision Range
13000.0,-13.060827167616269,Decision Range
14000.0,-12.956286871628643,Decision Range
15000.0,-12.93891300160373,Decision Range
16000.0,-12.94545665511241,Decision Range
17000.0,-12.92098345729026,Decision Range
18000.0,-12.870830385423673,Decision Range
19000.0,-12.766054058184348,Decision Range
20000.0,-12.71712017546556,Decision Range
21000.0,-12.721443037847067,Decision Range
22000.0,-12.662686597929811,Decision Range
23000.0,-12.547189854626948,Decision Range
24000.0,-12.603788224749605,Decision Range
25000.0,-12.602574347951212,Decision Range
26000.0,-12.576119565490174,Decision Range
27000.0,-12.764708320644619,Decision Range
28000.0,-12.825201942850914,Decision Range
29000.0,-12.785798411183833,Decision Range
30000.0,-12.712582671227668,Decision Range
31000.0,-12.553707487785303,Decision Range
32000.0,-12.486725629402507,Decision Range
33000.0,-12.489834616563362,Decision Range
34000.0,-12.37566164183871,Decision Range
35000.0,-12.289800017037424,Decision Range
36000.0,-12.334955621272833,Decision Range
37000.0,-12.21654096055526,Decision Range
38000.0,-12.070755359213289,Decision Range
39000.0,-12.043905737843811,Decision Range
40000.0,-12.093247249428792,Decision Range
41000.0,-12.000194536615554,Decision Range
42000.0,-11.94562572203148,Decision Range
43000.0,-11.93014985585178,Decision Range
44000.0,-11.947132944571642,Decision Range
45000.0,-11.931767445338055,Decision Range
46000.0,-11.791248113369614,Decision Range
47000.0,-11.890181200636315,Decision Range
48000.0,-11.931264172083381,Decision Range
49000.0,-11.82607016323202,Decision Range
50000.0,-11.893284731013411,Decision Range
51000.0,-11.81367133484055,Decision Range
52000.0,-11.76343915168922,Decision Range
53000.0,-11.623122666669456,Decision Range
54000.0,-11.612401866587936,Decision Range
55000.0,-11.451797394443842,Decision Range
56000.0,-11.333518943254976,Decision Range
57000.0,-11.42643185755768,Decision Range
58000.0,-11.374816370865709,Decision Range
59000.0,-11.340774992324864,Decision Range
60000.0,-11.281763414797243,Decision Range
61000.0,-11.146303116524422,Decision Range
62000.0,-11.145061292531086,Decision Range
63000.0,-11.146225309737417,Decision Range
64000.0,-11.150839550842342,Decision Range
65000.0,-11.06510476705633,Decision Range
66000.0,-10.977498656663718,Decision Range
67000.0,-10.934303808059047,Decision Range
68000.0,-10.940438339564665,Decision Range
69000.0,-10.947310847024909,Decision Range
70000.0,-11.003950689118854,Decision Range
71000.0,-10.93820449629194,Decision Range
72000.0,-10.853400403984667,Decision Range
73000.0,-10.797435305507845,Decision Range
74000.0,-10.694039627802642,Decision Range
75000.0,-10.61613295738663,Decision Range
76000.0,-10.63405825646249,Decision Range
77000.0,-10.588747460185996,Decision Range
78000.0,-10.605390628787415,Decision Range
79000.0,-10.584707860730003,Decision Range
80000.0,-10.579985187801535,Decision Range
81000.0,-10.696872874135945,Decision Range
82000.0,-10.637746918035958,Decision Range
83000.0,-10.549255758962772,Decision Range
84000.0,-10.494001852392808,Decision Range
85000.0,-10.3892339821395,Decision Range
86000.0,-10.392560330823052,Decision Range
87000.0,-10.363595032101113,Decision Range
88000.0,-10.320559046899255,Decision Range
89000.0,-10.224435564998018,Decision Range
90000.0,-10.24999285664863,Decision Range
91000.0,-10.159042200251134,Decision Range
92000.0,-10.086616461240775,Decision Range
93000.0,-10.066623063410669,Decision Range
94000.0,-9.976855543205223,Decision Range
95000.0,-9.816162695091593,Decision Range
96000.0,-9.851201423129982,Decision Range
97000.0,-9.822392095839449,Decision Range
98000.0,-10.023703511784172,Decision Range
99000.0,-9.99279392899892,Decision Range
100000.0,-9.873614304112694,Decision Range
101000.0,-9.86929716388875,Decision Range
102000.0,-9.884138665939062,Decision Range
103000.0,-9.86630497597402,Decision Range
104000.0,-9.840459943926417,Decision Range
105000.0,-9.884934539656122,Decision Range
106000.0,-9.807264818059668,Decision Range
107000.0,-9.76055067841401,Decision Range
108000.0,-9.677631787071435,Decision Range
109000.0,-9.562342817613798,Decision Range
110000.0,-9.53019301720247,Decision Range
111000.0,-9.444837464853089,Decision Range
112000.0,-9.54604010111666,Decision Range
113000.0,-9.53524481565006,Decision Range
114000.0,-9.44790565912659,Decision Range
115000.0,-9.381501548960788,Decision Range
116000.0,-9.325018024247123,Decision Range
117000.0,-9.306944889834694,Decision Range
118000.0,-9.32922815567316,Decision Range
119000.0,-9.27695122283457,Decision Range
120000.0,-9.208943686640962,Decision Range
121000.0,-9.058755033879349,Decision Range
